latitude,longitude,date_start,date_end,best_est
37.833994,68.781858,06/27/1992 00:00:00,06/27/1992 00:00:00,34
37.833994,68.781858,08/17/1992 00:00:00,08/23/1992 00:00:00,19
37.833994,68.781858,09/02/1992 00:00:00,09/04/1992 00:00:00,30
37.833994,68.781858,09/25/1992 00:00:00,09/27/1992 00:00:00,0
38.314083,69.037841,11/12/1992 00:00:00,11/12/1992 00:00:00,50
37.841372,70.04865,05/03/1993 00:00:00,05/03/1993 00:00:00,52
37.8,70,07/02/1993 00:00:00,07/02/1993 00:00:00,59
38.889034,71.122508,08/03/1993 00:00:00,08/03/1993 00:00:00,7
38.5085,70.78165,08/05/1993 00:00:00,08/05/1993 00:00:00,40
37.52526,69.33277,04/03/1993 00:00:00,04/03/1993 00:00:00,41
37.8,70,12/17/1993 00:00:00,12/17/1993 00:00:00,24
37.70004,72.16748,04/01/1993 00:00:00,04/14/1993 00:00:00,28
39.02871,70.37446,06/08/1994 00:00:00,06/17/1994 00:00:00,16
38.889034,71.122508,09/16/1994 00:00:00,09/18/1994 00:00:00,41
38.45373,70.78902,08/06/1994 00:00:00,08/06/1994 00:00:00,6
38.56,68.773889,09/28/1995 00:00:00,09/28/1995 00:00:00,2
37.70004,72.16748,04/07/1995 00:00:00,04/11/1995 00:00:00,42
37.70004,72.16748,04/07/1995 00:00:00,04/10/1995 00:00:00,62
38.722478,70.648059,06/02/1996 00:00:00,06/04/1996 00:00:00,5
38.69331,69.73692,02/11/1996 00:00:00,02/11/1996 00:00:00,21
38.889034,71.122508,01/30/1996 00:00:00,02/14/1996 00:00:00,26
38.889034,71.122508,08/14/1996 00:00:00,08/14/1996 00:00:00,2
39.02871,70.37446,12/01/1996 00:00:00,12/01/1996 00:00:00,40
38.69331,69.73692,02/12/1996 00:00:00,02/12/1996 00:00:00,21
38.201066,68.403633,06/17/1997 00:00:00,06/17/1997 00:00:00,1
38.56,68.773889,01/31/2005 00:00:00,01/31/2005 00:00:00,1
38.58333,68.16667,08/09/1997 00:00:00,08/09/1997 00:00:00,4
38.61793,68.13456,10/27/1997 00:00:00,10/27/1997 00:00:00,32
38.598559,69.107454,03/21/1998 00:00:00,03/24/1998 00:00:00,50
38.56,68.773889,08/22/2010 00:00:00,08/23/2010 00:00:00,5
38.51437,68.23327,08/27/1998 00:00:00,08/27/1998 00:00:00,6
